id,X1,X2,X3,X4,Y0,Y1
120001,-1.085630603,0.997345447,1,0,2.747190118,6.791507653
120002,0.282978498,-1.506294714,1,1,1.878927626,4.263705422
120003,-0.578600252,1.651436537,0,0,4.017941257,6.93309572
120004,-2.426679243,-0.428912629,0,0,0.820335555,8.593371279
120005,1.265936259,-0.866740402,0,1,3.373990903,7.923267121
120006,-0.678886152,-0.094708969,0,0,2.222126128,5.717011418
120007,1.491389626,-0.638901997,0,1,4.339341699,9.075228968
120008,-0.44398196,-0.434351276,1,1,1.36575762,4.512948954
120009,2.205930083,2.186786089,0,0,6.572736292,13.58029135
120010,1.004053898,0.386186399,0,0,4.469806271,9.089671409
120011,0.737368576,1.490732028,0,0,4.880597068,8.1348133
120012,-0.935833868,1.175829045,0,0,3.297667134,6.240342151
120013,-1.253880668,-0.637751502,1,1,1.362429519,4.766190662
120014,0.907105196,-1.4286807,0,0,2.666173998,4.777342632
120015,-0.14006872,-0.861754896,1,0,2.173002142,4.471998281
120016,-0.255619371,-2.798589105,0,0,0.179286347,1.194275262
120017,-1.771533105,-0.699877235,0,1,0.286823697,6.221418762
120018,0.927462432,-0.173635683,0,1,3.264424367,7.160917596
120019,0.002845916,0.688222711,1,1,3.207768153,6.932201748
120020,-0.879536343,0.283627324,0,1,1.59897552,5.399676057
120021,-0.805366518,-1.727669494,0,1,0.683777563,3.243573874
120022,-0.390899794,0.573805862,0,1,3.047889717,5.567830057
120023,0.338589051,-0.011830494,0,0,3.334291176,6.008572489
120024,2.392365266,0.41291216,0,0,5.738110076,14.3580177
120025,0.978736006,2.238143338,0,0,6.187822227,9.101793053
120026,-1.294085323,-1.03878821,1,0,0.452354497,4.985879182
120027,1.743712225,-0.798062735,0,1,4.031310701,9.172899841
120028,0.02968323,1.069315969,1,0,4.106128991,6.39783341
120029,0.890706391,1.754886182,0,1,4.976122751,7.615655486
120030,1.495644137,1.06939267,0,1,6.368280942,10.42961287
120031,-0.772708714,0.794862668,0,1,3.886328756,6.928571398
120032,0.314271995,-1.32626546,0,0,1.933554756,4.910763325
120033,1.417299046,0.807236535,0,1,4.814081511,10.50597767
120034,0.045490081,-0.233092061,0,1,2.997227822,4.822149099
120035,-1.198301145,0.199524074,0,1,1.411575053,5.884073054
120036,0.468439119,-0.831154984,0,0,2.78533552,5.100050987
120037,1.162204049,-1.097203046,1,0,3.187084405,6.400016982
120038,-2.12310035,1.039727091,0,1,1.727319387,8.794834097
120039,-0.403366038,-0.126029585,0,1,2.408010995,5.077201267
120040,-0.837516723,-1.605962761,0,0,0.762902104,2.771954397
120041,1.255237375,-0.688868984,1,1,3.595813958,7.812092464
120042,1.660952488,0.807308186,1,1,5.012240976,10.91000839
120043,-0.314758147,-1.085902401,0,1,0.223515789,4.758281076
120044,-0.732461987,-1.212523131,1,1,0.969478956,4.030051689
120045,2.08711336,0.16444123,0,0,5.275569718,12.1753448
120046,1.150205543,-1.267352049,0,0,2.50922727,7.20421901
120047,0.18103513,1.177861939,0,0,5.681078178,7.119065454
120048,-0.335010762,1.031114459,1,1,4.129743851,6.009868684
120049,-1.084567912,-1.363471545,1,0,1.803728909,3.982575034
120050,0.379400612,-0.379176435,0,0,2.975873779,5.643266848
120051,0.642054689,-1.977887932,0,1,2.142287225,2.960198309
120052,0.712264635,2.598303927,0,0,6.567915972,7.245150219
120053,-0.024625981,0.034142129,0,1,3.567491521,5.928079819
120054,0.179549485,-1.861975711,1,1,0.836720577,3.380953766
120055,0.42614664,-1.605409744,0,1,1.732708819,3.9019613
120056,-0.427679598,1.24286955,0,1,4.331185247,5.772516497
120057,-0.735216956,0.50124899,0,1,2.751961522,6.568005621
120058,1.012739054,0.278740856,1,1,4.478169442,7.672125853
120059,-1.37094847,-0.332475275,0,1,2.058568216,6.135311591
120060,1.959411342,-2.025045763,0,1,3.015409292,8.305397077
120061,-0.275786014,-0.552108071,0,0,1.679991998,6.011036252
120062,0.120747363,0.748215617,0,0,4.446239595,6.063248136
120063,1.608690968,-0.270232392,0,1,4.785428444,9.49859135
120064,0.81234133,0.499740145,1,1,4.810322058,7.081691363
120065,0.474347298,-0.563923932,0,1,3.389393711,5.895337435
120066,-0.997321469,-1.100043113,0,0,0.491384473,3.578141741
120067,-0.756437209,0.321686576,0,1,3.267180372,5.231832641
120068,0.760949393,0.323468848,1,1,3.904516057,7.621701667
120069,-0.548955096,1.80597011,1,0,4.241595471,6.810320553
120070,1.518865624,-0.354000113,1,1,3.692688554,9.471633332
120071,-0.823431406,0.130214954,1,0,2.013244522,5.917043873
120072,1.267298645,0.332764977,1,1,5.521276423,9.529927739
120073,0.556548705,-0.212080122,0,1,3.53161436,6.542644161
120074,0.456270895,1.544544451,0,1,4.769904873,6.964452551
120075,-0.239668781,0.143307733,0,1,2.280159492,6.512548786
120076,0.253816477,0.283725356,0,0,3.158878607,6.114679826
120077,-1.411888876,-1.876868656,1,1,-0.429734334,3.204873133
120078,-1.019655071,0.167942295,1,1,1.96955786,6.795531888
120079,0.553856166,-0.53067456,0,0,3.571482223,6.717328692
120080,1.377257483,-0.143175974,0,1,4.566906786,8.887349827
120081,0.020315998,-0.193963871,0,1,2.221814356,5.254843153
120082,0.134026793,0.704474074,0,0,3.800232333,6.330564382
120083,0.665653438,-0.898422941,0,0,3.809916525,5.532492659
120084,1.523663776,-1.095026457,0,1,3.584282886,7.716878133
120085,0.079227014,-0.274396574,0,0,2.92909288,5.671905174
120086,-1.048991677,-0.075120588,1,0,2.050575455,4.872400061
120087,-0.740813773,0.072907243,1,1,1.631354411,6.627506975
120088,0.403085961,1.471929369,0,1,4.574013694,6.787958139
120089,0.307384219,-0.61122534,0,1,3.035764952,5.991101239
120090,-0.391619811,0.139978106,0,1,2.11408,5.347510437
120091,0.093460829,1.459589268,0,1,3.969406152,6.933598231
120092,1.39535293,-0.358935926,1,0,4.08953769,9.146052665
120093,-0.548642128,-2.557054604,0,0,-0.324627623,1.545411867
120094,-0.548920413,-0.978057706,0,1,1.521855762,5.102351959
