id,X1,X2,X3,X4
110001,-1.085630603,0.997345447,1,0
110002,0.282978498,-1.506294714,1,1
110003,-0.578600252,1.651436537,0,0
110004,-2.426679243,-0.428912629,0,0
110005,1.265936259,-0.866740402,0,1
110006,-0.678886152,-0.094708969,0,0
110007,1.491389626,-0.638901997,0,1
110008,-0.44398196,-0.434351276,1,1
110009,2.205930083,2.186786089,0,0
110010,1.004053898,0.386186399,0,0
110011,0.737368576,1.490732028,0,0
110012,-0.935833868,1.175829045,0,0
110013,-1.253880668,-0.637751502,1,1
110014,0.907105196,-1.4286807,0,0
110015,-0.14006872,-0.861754896,1,0
110016,-0.255619371,-2.798589105,0,0
110017,-1.771533105,-0.699877235,0,1
110018,0.927462432,-0.173635683,0,1
110019,0.002845916,0.688222711,1,1
110020,-0.879536343,0.283627324,0,1
110021,-0.805366518,-1.727669494,0,1
110022,-0.390899794,0.573805862,0,1
110023,0.338589051,-0.011830494,0,0
110024,2.392365266,0.41291216,0,0
110025,0.978736006,2.238143338,0,0
110026,-1.294085323,-1.03878821,1,0
110027,1.743712225,-0.798062735,0,1
110028,0.02968323,1.069315969,1,0
110029,0.890706391,1.754886182,0,1
110030,1.495644137,1.06939267,0,1
110031,-0.772708714,0.794862668,0,1
110032,0.314271995,-1.32626546,0,0
110033,1.417299046,0.807236535,0,1
110034,0.045490081,-0.233092061,0,1
110035,-1.198301145,0.199524074,0,1
110036,0.468439119,-0.831154984,0,0
110037,1.162204049,-1.097203046,1,0
110038,-2.12310035,1.039727091,0,1
110039,-0.403366038,-0.126029585,0,1
110040,-0.837516723,-1.605962761,0,0
110041,1.255237375,-0.688868984,1,1
110042,1.660952488,0.807308186,1,1
110043,-0.314758147,-1.085902401,0,1
110044,-0.732461987,-1.212523131,1,1
110045,2.08711336,0.16444123,0,0
110046,1.150205543,-1.267352049,0,0
110047,0.18103513,1.177861939,0,0
110048,-0.335010762,1.031114459,1,1
110049,-1.084567912,-1.363471545,1,0
110050,0.379400612,-0.379176435,0,0
110051,0.642054689,-1.977887932,0,1
110052,0.712264635,2.598303927,0,0
110053,-0.024625981,0.034142129,0,1
110054,0.179549485,-1.861975711,1,1
110055,0.42614664,-1.605409744,0,1
110056,-0.427679598,1.24286955,0,1
110057,-0.735216956,0.50124899,0,1
110058,1.012739054,0.278740856,1,1
110059,-1.37094847,-0.332475275,0,1
